('', None)
('д / -249.5229065483872 -230.8574723368415 * 242.93966085716966 -230.8574723368415 -63.83485146029594 / -123.20700717171121', None)
('-187.06568258978024 + 31.814667708481807 - -197.11896738625535 -88.42521290119421 130.11161366087993', None)
('61.21822739586872 -- 225.88183944816524 ++ е', None)
('-284.0660330185538 / 179.15552500344728 а * 201.36453531312696 -284.0660330185538 -236.46692489285806 / -63.83485146029594', None)
('О + -177.82599687615985 - -76.50083985142658 О -1.0468844382442057', None)
('120.53822442006788 -- 281.19114091763186 ++ 20.175890663119333', 421.90525600081907)
('-203.04324073041658 / 68.69775972267536 -1.0468844382442057 * 20.175890663119333 36.84100036199919 -11.538164442891969 / 156.1848530542773', None)
('36.84100036199919 + 147.7457100566828 - \n 238.09004783453247 К', None)
('М -- -297.5968553437791 ++ -268.5156378424376', None)
('238.09004783453247 / М -169.0330817326347 * -261.880936387809 -1.0468844382442057 -139.50767528144823 / 61.21822739586872', None)
('157.3764034511928 + -265.10216679103263 - 147.7457100566828 -23.46377926942347 е', None)
('/ -- -76.50083985142658 ++ -187.24744946034275', None)
('К / -56.881859866176995 г * д -87.83652491008809 -265.10216679103263 / -76.50083985142658', None)
('-299.6862907970833 + 265.0102127876513 - О и 66.67603794392369', None)
('130.11161366087993 -- 66.67603794392369 ++ 42.43545055317918', 239.2231021579828)
('21.52146635317058 / \n -23.46377926942347 * К е * / /', None)
('179.15552500344728 + 295.93158223705916 - -236.46692489285806 89.13050742749499 К', None)
('20.175890663119333 -- 220.51611927320357 ++ е', None)
('252.13210199259902 / 288.91432646731096 з * -40.20746698953059 г \n / -220.2038988557873', None)
('з + 68.69775972267536 - -168.01199999648085 -104.53514924634746 107.14559342047494', None)
('-15.221738008156194 -- и ++ 20.175890663119333', None)
('-249.5229065483872 / -203.04324073041658 н * -108.62607893905829 47.01809414476486 265.0102127876513 / 252.13210199259902', None)
('-58.759874512463085 + -123.20700717171121 - 47.01809414476486 -284.542933687587 130.11161366087993', None)
('-204.47796783498188 -- 23.407071147882675 ++ 288.93202320892806', 107.86112652182885)
('238.09004783453247 / -56.50585436023897 -1.0468844382442057 * и -230.8574723368415 -254.61017987038926 / О', None)
('-11.538164442891969 + 199.45655899123375 - -56.03435415152822 68.69775972267536 199.45655899123375', None)
('21.52146635317058 -- + ++ 88.69871803791472', 110.2201843910853)
('и / -63.83485146029594 288.93202320892806 * -272.1560106041155 -56.881859866176995 -196.05029931385798 / 30.450969650258855', None)
('-76.50083985142658 + 23.407071147882675 - -297.5968553437791 а 59.7046142213992', None)
('59.7046142213992 -- 23.407071147882675 ++ ё', None)
('-23.46377926942347 / 281.19114091763186 4.924315659803824 * -108.62607893905829 -120.43728520899805 88.69871803791472 / 178.46053166917358', None)
('42.43545055317918 + -206.46088147401883 - 265.0102127876513 н 61.21822739586872', None)
(') -- -220.2038988557873 ++ -297.5968553437791', None)
('-88.42521290119421 / -249.5229065483872 156.1848530542773 * -197.11896738625535 59.7046142213992 ) / -104.53514924634746', None)
('-203.04324073041658 + -56.881859866176995 - 59.7046142213992 -284.0660330185538 -67.63489927286287', -671.3306471094095)
('288.93202320892806 -- -197.11896738625535 ++ 28.38728439033872', 120.20034021301143)
('242.93966085716966 / -268.5156378424376 -56.50585436023897 * 252.13210199259902 -56.881859866176995 г / -226.4936633341103', None)
('-99.10490488527589 + -187.06568258978024 - 21.626110896516877 147.7457100566828 -99.10490488527589', None)
('л -- -40.20746698953059 ++ 21.626110896516877', None)
('+ / -15.221738008156194 178.46053166917358 * + 201.36453531312696 -230.8574723368415 / 130.11161366087993', None)
('е + з - 4.924315659803824 -104.53514924634746 в', None)
('-96.8210086008016 -- а ++ 201.36453531312696', None)
('-197.11896738625535 / д 225.88183944816524 * -56.881859866176995 и 281.19114091763186 / 225.88183944816524', None)
('-262.73443728834025 + 61.21822739586872 - 88.69871803791472 252.13210199259902 102.02913588983466', None)
('30.450969650258855 -- М ++ -56.50585436023897', None)
('21.52146635317058 / 201.36453531312696 150.73369071050507 * 30.041423988006557 -284.542933687587 -1.0468844382442057 / -2.241948730894194', None)
('-187.06568258978024 + 102.02913588983466 - -1.0468844382442057 в -58.759874512463085', None)
('147.7457100566828 -- 281.19114091763186 ++ /', None)
('-187.24744946034275 / О ) * -56.03435415152822 \t -88.42521290119421 / 252.13210199259902', None)
('238.09004783453247 + ё - -88.42521290119421 -203.04324073041658 -169.0330817326347', None)
('102.02913588983466 -- -63.83485146029594 ++ -120.43728520899805', -82.24300077945932)
('-15.221738008156194 / -206.46088147401883 28.38728439033872 * а -203.04324073041658 -58.759874512463085 / -104.53514924634746', None)
('-261.880936387809 + 119.40982668745903 - 281.19114091763186 120.53822442006788 120.53822442006788', None)
('102.02913588983466 -- М ++ -226.4936633341103', None)
('-265.10216679103263 / -299.957155762821 -106.7006202425938 * -289.31154981433167 -99.10490488527589 -203.04324073041658 / 23.407071147882675', 30762.826263481486)
('107.14559342047494 + -261.880936387809 - -169.0330817326347 28.38728439033872 К', None)
('4.924315659803824 -- 30.041423988006557 ++ 119.40982668745903', 154.3755663352694)
('31.814667708481807 / -284.0660330185538 225.88183944816524 * -96.8210086008016 -284.542933687587 265.0102127876513 / 156.1848530542773', None)
('и + 21.626110896516877 - -289.31154981433167 М -169.0330817326347', None)
('-56.881859866176995 -- + ++ 150.73369071050507', 93.85183084432808)
('107.14559342047494 / -169.0330817326347 -108.62607893905829 * -177.82599687615985 -63.83485146029594 42.43545055317918 / 42.43545055317918', None)
('288.93202320892806 + -284.0660330185538 - 4.924315659803824 и -56.881859866176995', None)
('-99.10490488527589 -- -282.16070768440244 ++ -96.8210086008016', -478.08662117047993)
('178.46053166917358 / 288.93202320892806 59.7046142213992 * -104.53514924634746 * 68.69775972267536 / а', None)
('20.175890663119333 + в - 21.626110896516877 21.52146635317058 89.06925761317939', None)
('-261.880936387809 -- 147.7457100566828 ++ О', None)
('220.51611927320357 / 36.84100036199919 -196.05029931385798 * 295.93158223705916 -187.06568258978024 225.88183944816524 / -58.759874512463085', None)
('107.14559342047494 + -56.50585436023897 - 89.13050742749499 252.13210199259902 -106.7006202425938', None)
('-268.5156378424376 -- -88.42521290119421 ++ )', None)
('-120.43728520899805 / -299.957155762821 201.36453531312696 * -2.241948730894194 -284.0660330185538 156.1848530542773 / л', None)
('д + -297.5968553437791 - -177.82599687615985 \n -5.9669773275654165', None)
('-127.35049407706248 -- -169.0330817326347 ++ Ж', None)
('295.93158223705916 / 220.51611927320357 295.93158223705916 * -123.20700717171121 -87.83652491008809 -123.20700717171121 / 147.7457100566828', None)
('288.91432646731096 + 119.40982668745903 - -76.50083985142658 288.93202320892806 -87.83652491008809', None)
('е -- д ++ 281.19114091763186', None)
('О / -76.50083985142658 -169.0330817326347 * ( -297.5968553437791 -2.241948730894194 / 281.19114091763186', None)
('-203.04324073041658 + + - -87.83652491008809 О 23.407071147882675', None)
('156.1848530542773 -- 225.88183944816524 ++ -230.8574723368415', 151.20922016560104)
('225.88183944816524 / -187.06568258978024 -63.83485146029594 * О и -40.20746698953059 / 295.93158223705916', None)
('-177.82599687615985 + -299.6862907970833 - -67.63489927286287 а 120.53822442006788', None)
('-299.6862907970833 -- -177.82599687615985 ++ -284.542933687587', -762.05522136083)
('-236.46692489285806 / -123.20700717171121 -56.881859866176995 * -268.5156378424376 147.7457100566828 150.73369071050507 / н', None)
('/ + * - 199.45655899123375 -187.06568258978024 -2.241948730894194', None)
('119.40982668745903 -- ё ++ -169.0330817326347', None)
('н / н 66.67603794392369 * 42.43545055317918 -168.01199999648085 288.93202320892806 / -139.50767528144823', None)
('-197.11896738625535 + -88.42521290119421 - * -81.35490302775275 л', None)
('23.407071147882675 -- 42.43545055317918 ++ -289.31154981433167', -223.46902811326981)
('-1.0468844382442057 / -76.50083985142658 б * д 36.84100036199919 30.041423988006557 / -108.62607893905829', None)
('20.175890663119333 + ( - 119.40982668745903 н 119.40982668745903', None)
('+ -- 199.45655899123375 ++ 179.15552500344728', 378.61208399468103)
('-15.221738008156194 / 4.924315659803824 21.52146635317058 * 288.91432646731096 -88.42521290119421 -104.53514924634746 / 66.67603794392369', None)
('\n + 102.02913588983466 - 20.175890663119333 -226.4936633341103 а', None)
('М -- в ++ 23.407071147882675', None)
('\n / -5.9669773275654165 61.21822739586872 * 156.1848530542773 -249.5229065483872 47.01809414476486 / -56.881859866176995', None)
('-0.5751170564059294 + -123.20700717171121 - -56.03435415152822 -40.20746698953059 \t', -107.95523706611951)
('220.51611927320357 -- 21.52146635317058 ++ -96.8210086008016', 145.21657702557255)
('-220.2038988557873 / 199.45655899123375 31.814667708481807 * з 265.0102127876513 ( / -120.43728520899805', None)
('-196.05029931385798 + -261.880936387809 - М -139.50767528144823 -282.16070768440244', None)
('-249.5229065483872 -- -177.82599687615985 ++ 220.51611927320357', -206.8327841513435)
('21.626110896516877 / д -63.83485146029594 * 157.3764034511928 -123.20700717171121 \t / -220.2038988557873', None)
('-265.10216679103263 + 178.46053166917358 - -197.11896738625535 -220.2038988557873 Ж', None)
('-282.16070768440244 -- + ++ /', None)
('М / -81.35490302775275 -120.43728520899805 * -15.221738008156194 -99.10490488527589 179.15552500344728 / 150.73369071050507', None)
('/ + -1.0468844382442057 - г -187.24744946034275 з', None)
('-187.06568258978024 -- * ++ -169.0330817326347', None)
('К / -88.42521290119421 61.21822739586872 * 288.91432646731096 -299.6862907970833 156.1848530542773 / -196.05029931385798', None)
('-226.4936633341103 + ё - 147.7457100566828 М 23.407071147882675', None)
('+ -- б ++ -187.24744946034275', None)
('е / -23.46377926942347 -177.82599687615985 * 68.69775972267536 -108.62607893905829 -289.31154981433167 / 102.02913588983466', None)
('20.175890663119333 + -108.62607893905829 - -197.11896738625535 -56.03435415152822 -23.46377926942347', 29.170645689364704)
('-299.957155762821 -- 21.626110896516877 ++ 242.93966085716966', -35.39138400913447)
('ё / 120.53822442006788 -120.43728520899805 * -249.5229065483872 281.19114091763186 30.041423988006557 / 88.69871803791472', None)
('-268.5156378424376 + -40.20746698953059 - -58.759874512463085 -11.538164442891969 л', None)
('-99.10490488527589 -- 265.0102127876513 ++ 47.01809414476486', 212.92340204714029)
('б / -56.50585436023897 130.11161366087993 * -0.5751170564059294 в -299.957155762821 / 30.450969650258855', None)
('107.14559342047494 + -230.8574723368415 - -87.83652491008809 199.45655899123375 -5.9669773275654165', None)
('-187.06568258978024 -- б ++ 281.19114091763186', None)
('130.11161366087993 / -299.957155762821 -197.11896738625535 * 59.7046142213992 е -204.47796783498188 / Ж', None)
('42.43545055317918 + ( - -206.46088147401883 -27.99967430476505 21.626110896516877', None)
('295.93158223705916 -- 89.13050742749499 ++ -67.63489927286287', 317.4271903916913)
('281.19114091763186 / -76.50083985142658 -187.24744946034275 * * е 89.13050742749499 / ё', None)
('-261.880936387809 + -297.5968553437791 - -226.4936633341103 119.40982668745903 -249.5229065483872', None)
('-299.6862907970833 -- 61.21822739586872 ++ -99.10490488527589', -337.57296828649044)
('в / 288.91432646731096 ) * 281.19114091763186 -197.11896738625535 / / 128.9402613727181', None)
('-196.05029931385798 + 36.84100036199919 - 265.0102127876513 -261.880936387809 -99.10490488527589', -785.2053530125951)
('-284.542933687587 -- 68.69775972267536 ++ 66.67603794392369', -149.16913602098793)
('-5.9669773275654165 / 128.9402613727181 107.14559342047494 * -236.46692489285806 295.93158223705916 з / -139.50767528144823', None)
('242.93966085716966 + 178.46053166917358 - 179.15552500344728 -265.10216679103263 г', None)
('/ -- / ++ -187.06568258978024', None)
('( / 178.46053166917358 -2.241948730894194 * -88.42521290119421 -272.1560106041155 К / н', None)
('-187.06568258978024 + -261.880936387809 - в -197.11896738625535 -204.47796783498188', None)
('42.43545055317918 -- 89.06925761317939 ++ -1.0468844382442057', 130.45782372811436)
('-196.05029931385798 / -262.73443728834025 -284.0660330185538 * 199.45655899123375 -0.5751170564059294 -220.2038988557873 / -249.5229065483872', -56657.77989762923)
('28.38728439033872 + -197.11896738625535 - -177.82599687615985 -15.221738008156194 )', None)
('-299.957155762821 -- 68.69775972267536 ++ М', None)
('265.0102127876513 / -169.0330817326347 -123.20700717171121 * 68.69775972267536 ( -187.06568258978024 / (', None)
('-254.61017987038926 + -197.11896738625535 - 252.13210199259902 288.91432646731096 68.69775972267536', None)
('-206.46088147401883 -- -197.11896738625535 ++ -2.241948730894194', -405.8217975911684)
('-299.957155762821 / 265.0102127876513 з * 30.450969650258855 М -87.83652491008809 / 150.73369071050507', None)
('-106.7006202425938 + -5.9669773275654165 - -120.43728520899805 199.45655899123375 е', None)
('-27.99967430476505 -- -56.881859866176995 ++ -284.0660330185538', -368.9475671894959)
('-87.83652491008809 / а 23.407071147882675 * -27.99967430476505 21.626110896516877 -5.9669773275654165 / -67.63489927286287', None)
('* + 42.43545055317918 - -11.538164442891969 -81.35490302775275 -63.83485146029594', None)
('М -- 21.626110896516877 ++ 295.93158223705916', None)
('-81.35490302775275 / 130.11161366087993 -67.63489927286287 * 48.72366074014985 265.0102127876513 238.09004783453247 / -63.83485146029594', None)
('-139.50767528144823 + 242.93966085716966 - 238.09004783453247 М К', None)
('30.041423988006557 -- -297.5968553437791 ++ -265.10216679103263', -532.6575981468052)
('48.72366074014985 / -23.46377926942347 и * -236.46692489285806 -108.62607893905829 -5.9669773275654165 / 178.46053166917358', None)
(' 62 - (24 + 21)  ', 17)
('100 - (36 + 11)  ', 53)
('59 + (27 - 19)  ', 67)
('(33 - 24) + 41   28 - (11 + 16)  ', None)
('82 - (29 + 17)  ', 36)
('62 + (41 - 19)  ', 84)
('12 + (63 - 19)   39 - (94 - 71)  ', None)
('19 + (61 - 26)  ', 54)
('52 - (37 + 11)  ', 4)
('22 + (42 - 17)   95 - (17 + 32)  ', None)
('64 - (21 + 13)  ', 30)
('36 + (17 - 8)  ', 45)
('92 - (47 + 8)   74 - (29 + 36)  ', None)
('35 + (83 - 61)  ', 57)
('18 + (29 - 11)  ', 36)
('67 - (19 + 34)   96 - (49 + 18)  ', None)
('25 + (38 - 15)  ', 48)
('52 - (31 + 14)  ', 7)
('74 + (85 - 64)   49 - (33 + 12)  ', None)
('58 + (51 - 39)  ', 70)
('98 - (48 + 23)  ', 27)
('32 + (84 - 79)   28 - (96 - 74)  ', None)
('41 - (85 - 57)  ', 13)
('99 - (74 - 19)  ', 44)
('62 - (95 - 51)   95 - (42 + 39)  ', None)
('81 + (75 - 68)  ', 88)
('84 - (39 + 28)  ', 17)
('12 + (85 - 19)   73 - (24 + 31)  ', None)
('39 + (19 - 11)  ', 47)
('28 - (89 - 77)  ', 16)
('20 + (82 - 15)   19 + (41 - 12)  ', None)
('95 + (93 - 88)  ', 100)
('100 - (48 + 31)  ', 21)
('27 + (100 - 39)   49 - (18 + 15)  ', None)
('93 + (85 - 79)  ', 99)
('99 - (38 + 54)  ', 7)
('83 + (62 - 51)   93 - (71 + 11)  ', None)
('10 + (27 - 14)  ', 23)
('62 - (19 + 39)  ', 4)
('41 + (73 - 34)   12 + (48 - 19)  ', None)
('91 - (75 + 14)  ', 2)
('71 + (18 - 11)  ', 78)
('39 - (12 + 21)   55 - (61 - 35)  ', None)
('48 - (72 - 46)  ', 22)
('92 - (86 - 29)  ', 35)
('31 - (74 - 59)   38 + (44 - 17)  ', None)
('91 - (33 + 51)  ', 7)
('27 + (100 - 52)  ', 75)
('90 - (29 + 52)   71 - (82 - 49)  ', None)
('92 - (82 - 37)  ', 47)
('49 - (33 - 18)  ', 34)
('74 - (83 - 39)   18 + (92 - 81)  ', None)
('79 - (17 + 28)  ', 34)
('88 + (38 - 29)  ', 97)
('29 - (12 + 11)   100 - (49 + 51)  ', None)
('83 + (96 - 79)  ', 100)
('91 - (59 + 32)  ', 0)
('74 + (48 - 22)   19 + (91 - 38)  ', None)
('58 - (30 + 19)  ', 9)
('93 + (81 - 75)  ', 99)
('85 - (47 + 24)   90 + (82 - 74)  ', None)
('62 - (31 + 27)  ', 4)
('44 + (29 - 27)  ', 46)
('32 - (19 + 6)   49 + (47 - 39)  ', None)
('95 - (82 + 11)  ', 2)
('63 + (37 - 19)  ', 81)
('100 - (64 + 31)   11 + (78 - 54)  ', None)
('61 - (33 + 18)  ', 10)
('59 + (67 - 42)  ', 84)
('53 - (31 + 17)   85 - (27 + 52)  ', None)
('46 + (93 - 68)  ', 71)
('83 - (27 + 36)  ', 20)
('29 + (98 - 69)   85 - (97 - 49)  ', None)
('72 - (64 - 31)  ', 39)
('49 - (74 - 38)  ', 13)
('95 - (38 - 23)   87 + (23 - 18)  ', None)
('49 - (18 + 23)  ', 8)
('13 + (100 - 72)  ', 41)
('92 - (34 + 19)   28 + (49 - 32)  ', None)
('83 - (39 + 26)  ', 18)
('37 + (62 - 17)  ', 82)
('93 - (48 + 27)   72 + (93 - 69)  ', None)
('97 - (12 + 61)  ', 24)
('27 + (73 - 67)  ', 33)
('39 - (21 + 16)   100 - (72 + 21)  ', None)
('17 + (100 - 38)  ', 79)
('100 - (11 + 52)  ', 37)
('49 + (100 - 76)   39 + (48 - 34)  ', None)
('100 - (26 + 29)   ', 45)
